locationId,location,parameter,pm25_value,unit,country,latitude,longitude,datetime_utc
494,Seeley Lake,pm25,33.8,µg/m³,US,47.17563,-113.476182,2024-12-21 01:00:00+00:00
496,Cold Lake South,pm25,11,µg/m³,CA,54.4138,-110.2331,2024-12-21 04:00:00+00:00
496,Cold Lake South,pm25,10.2,µg/m³,CA,54.4138,-110.2331,2024-12-21 03:00:00+00:00
496,Cold Lake South,pm25,9.9,µg/m³,CA,54.4138,-110.2331,2024-12-21 02:00:00+00:00
496,Cold Lake South,pm25,10.5,µg/m³,CA,54.4138,-110.2331,2024-12-21 01:00:00+00:00
500,Frenchtown,pm25,8.3,µg/m³,US,47.012907,-114.224273,2024-12-21 04:00:00+00:00
500,Frenchtown,pm25,9.1,µg/m³,US,47.012907,-114.224273,2024-12-21 03:00:00+00:00
500,Frenchtown,pm25,13.2,µg/m³,US,47.012907,-114.224273,2024-12-21 02:00:00+00:00
500,Frenchtown,pm25,14.4,µg/m³,US,47.012907,-114.224273,2024-12-21 01:00:00+00:00
504,Fort Saskatchewan,pm25,18,µg/m³,CA,53.6989,-113.2233,2024-12-21 04:00:00+00:00
504,Fort Saskatchewan,pm25,18.5,µg/m³,CA,53.6989,-113.2233,2024-12-21 03:00:00+00:00
504,Fort Saskatchewan,pm25,18,µg/m³,CA,53.6989,-113.2233,2024-12-21 02:00:00+00:00
504,Fort Saskatchewan,pm25,18.1,µg/m³,CA,53.6989,-113.2233,2024-12-21 01:00:00+00:00
505,Fort McKay,pm25,5.4,µg/m³,CA,57.1889,-111.6406,2024-12-21 04:00:00+00:00
505,Fort McKay,pm25,4.2,µg/m³,CA,57.1889,-111.6406,2024-12-21 03:00:00+00:00
505,Fort McKay,pm25,5.2,µg/m³,CA,57.1889,-111.6406,2024-12-21 02:00:00+00:00
505,Fort McKay,pm25,7.4,µg/m³,CA,57.1889,-111.6406,2024-12-21 01:00:00+00:00
507,Worcester,pm25,4.9,µg/m³,US,42.263901,-71.794701,2024-12-21 02:00:00+00:00
507,Worcester,pm25,4.8,µg/m³,US,42.263901,-71.794701,2024-12-21 01:00:00+00:00
499,W Greenwich,pm25,2,µg/m³,US,41.615,-71.7197,2024-12-21 04:00:00+00:00
499,W Greenwich,pm25,2,µg/m³,US,41.615,-71.7197,2024-12-21 03:00:00+00:00
499,W Greenwich,pm25,3,µg/m³,US,41.615,-71.7197,2024-12-21 02:00:00+00:00
499,W Greenwich,pm25,4,µg/m³,US,41.615,-71.7197,2024-12-21 01:00:00+00:00
509,Fort Chipewyan,pm25,3.7,µg/m³,CA,58.7083,-111.1764,2024-12-21 04:00:00+00:00
509,Fort Chipewyan,pm25,3.3,µg/m³,CA,58.7083,-111.1764,2024-12-21 03:00:00+00:00
509,Fort Chipewyan,pm25,3.2,µg/m³,CA,58.7083,-111.1764,2024-12-21 02:00:00+00:00
509,Fort Chipewyan,pm25,3.2,µg/m³,CA,58.7083,-111.1764,2024-12-21 01:00:00+00:00
512,Sleeping Giant,pm25,1.4,µg/m³,US,46.8505,-111.987164,2024-12-21 04:00:00+00:00
512,Sleeping Giant,pm25,6.5,µg/m³,US,46.8505,-111.987164,2024-12-21 03:00:00+00:00
514,South Phoenix,pm25,41.5,µg/m³,US,33.4033,-112.0731,2024-12-21 04:00:00+00:00
514,South Phoenix,pm25,35,µg/m³,US,33.4033,-112.0731,2024-12-21 03:00:00+00:00
514,South Phoenix,pm25,25.8,µg/m³,US,33.4033,-112.0731,2024-12-21 02:00:00+00:00
514,South Phoenix,pm25,18.2,µg/m³,US,33.4033,-112.0731,2024-12-21 01:00:00+00:00
524,Greenfield,pm25,3.8,µg/m³,US,42.605816,-72.596689,2024-12-21 02:00:00+00:00
524,Greenfield,pm25,3.8,µg/m³,US,42.605816,-72.596689,2024-12-21 01:00:00+00:00
526,Tempe,pm25,17.3,µg/m³,US,33.4124,-111.9347,2024-12-21 04:00:00+00:00
526,Tempe,pm25,17.7,µg/m³,US,33.4124,-111.9347,2024-12-21 03:00:00+00:00
526,Tempe,pm25,17,µg/m³,US,33.4124,-111.9347,2024-12-21 02:00:00+00:00
526,Tempe,pm25,16.4,µg/m³,US,33.4124,-111.9347,2024-12-21 01:00:00+00:00
534,Missoula,pm25,12.7,µg/m³,US,46.842297,-114.020549,2024-12-21 04:00:00+00:00
534,Missoula,pm25,11.8,µg/m³,US,46.842297,-114.020549,2024-12-21 03:00:00+00:00
534,Missoula,pm25,11.3,µg/m³,US,46.842297,-114.020549,2024-12-21 02:00:00+00:00
534,Missoula,pm25,10.6,µg/m³,US,46.842297,-114.020549,2024-12-21 01:00:00+00:00
535,Great Falls,pm25,9.9,µg/m³,US,47.494318,-111.303317,2024-12-21 04:00:00+00:00
535,Great Falls,pm25,10.5,µg/m³,US,47.494318,-111.303317,2024-12-21 03:00:00+00:00
535,Great Falls,pm25,8,µg/m³,US,47.494318,-111.303317,2024-12-21 02:00:00+00:00
535,Great Falls,pm25,11.2,µg/m³,US,47.494318,-111.303317,2024-12-21 01:00:00+00:00
537,Lethbridge,pm25,1.1,µg/m³,CA,49.7164,-112.8006,2024-12-21 04:00:00+00:00
537,Lethbridge,pm25,1,µg/m³,CA,49.7164,-112.8006,2024-12-21 03:00:00+00:00
537,Lethbridge,pm25,1,µg/m³,CA,49.7164,-112.8006,2024-12-21 02:00:00+00:00
537,Lethbridge,pm25,1.3,µg/m³,CA,49.7164,-112.8006,2024-12-21 01:00:00+00:00
530,WARE,pm25,3.1,µg/m³,US,42.298302,-72.334396,2024-12-21 02:00:00+00:00
